frameIndex;frameTime;pcm_LOGenergy
88;0.880000;-6.826063e+00
89;0.890000;-7.122896e+00
90;0.900000;-7.431366e+00
91;0.910000;-7.910259e+00
92;0.920000;-8.028339e+00
93;0.930000;-7.695104e+00
94;0.940000;-7.415658e+00
95;0.950000;-7.521991e+00
96;0.960000;-7.963312e+00
97;0.970000;-8.563143e+00
98;0.980000;-8.168000e+00
99;0.990000;-7.844711e+00
100;1.000000;-7.718720e+00
101;1.010000;-7.722296e+00
102;1.020000;-7.626675e+00
103;1.030000;-7.529541e+00
104;1.040000;-7.509285e+00
105;1.050000;-7.557433e+00
106;1.060000;-7.794115e+00
107;1.070000;-8.319114e+00
108;1.080000;-9.422461e+00
109;1.090000;-7.352866e+00
110;1.100000;-7.098794e+00
111;1.110000;-7.369322e+00
112;1.120000;-7.038078e+00
113;1.130000;-6.279692e+00
114;1.140000;-5.813224e+00
115;1.150000;-5.832489e+00
116;1.160000;-5.924977e+00
117;1.170000;-6.608108e+00
118;1.180000;-6.989049e+00
119;1.190000;-7.051392e+00
120;1.200000;-7.169818e+00
121;1.210000;-8.325621e+00
122;1.220000;-8.389836e+00
123;1.230000;-8.119206e+00
124;1.240000;-6.161516e+00
125;1.250000;-5.294297e+00
126;1.260000;-5.037460e+00
127;1.270000;-4.828692e+00
128;1.280000;-5.020366e+00
129;1.290000;-5.645850e+00
130;1.300000;-6.923263e+00
131;1.310000;-7.248997e+00
132;1.320000;-7.414404e+00
133;1.330000;-7.676379e+00
134;1.340000;-7.823090e+00
135;1.350000;-8.134686e+00
136;1.360000;-7.666605e+00
137;1.370000;-7.346622e+00
138;1.380000;-7.057205e+00
139;1.390000;-6.510026e+00
140;1.400000;-6.375414e+00
141;1.410000;-6.859144e+00
142;1.420000;-7.515749e+00
143;1.430000;-7.341008e+00
144;1.440000;-6.806535e+00
145;1.450000;-6.534550e+00
146;1.460000;-6.304855e+00
147;1.470000;-6.289199e+00
148;1.480000;-6.330677e+00
149;1.490000;-6.237786e+00
150;1.500000;-6.235247e+00
151;1.510000;-6.426827e+00
152;1.520000;-6.735628e+00
153;1.530000;-6.761336e+00
154;1.540000;-6.844705e+00
155;1.550000;-7.228753e+00
156;1.560000;-7.879143e+00
157;1.570000;-8.396942e+00
158;1.580000;-7.170892e+00
159;1.590000;-6.595760e+00
160;1.600000;-6.466599e+00
161;1.610000;-6.194703e+00
162;1.620000;-5.688619e+00
163;1.630000;-5.487991e+00
164;1.640000;-5.584568e+00
165;1.650000;-5.847379e+00
166;1.660000;-6.080912e+00
167;1.670000;-6.253675e+00
168;1.680000;-6.448919e+00
169;1.690000;-6.558275e+00
170;1.700000;-6.407600e+00
171;1.710000;-6.412567e+00
172;1.720000;-6.478951e+00
173;1.730000;-6.712680e+00
174;1.740000;-6.191517e+00
175;1.750000;-5.361733e+00
176;1.760000;-4.834267e+00
177;1.770000;-4.714092e+00
178;1.780000;-4.997710e+00
179;1.790000;-5.235788e+00
180;1.800000;-5.575305e+00
181;1.810000;-5.925910e+00
182;1.820000;-6.303125e+00
